phrase
Larry McMurty
Cormac McCarthy
Blood Meridian
Tolkein
Larry Brown
Frank Herbert
Dune
William Gay
John Williams
All the pretty horses
The Crossing
cities of the Plains
Suttree
Don Delillo
A Race to freedom
Barkskins
The Patriot
Stuart Woods
